GeneID,GeneSymbol,,GeneID与GeneSymbol其实都是gene的ID号，GeneSymol是我自己把GeneID变换一下得到的结果，你可以有自己的变换方式，他的作用就是作为基因的唯一识别符。
EVM0000001.1,Gene1.1,,注意GeneID和GeneSymol这两列虽然所表示的内容一样，但是不能省略，两列必须同时存在，否则WGCNA.R脚本会报错
EVM0000002.1,Gene2.1,,
EVM0000004.1,Gene4.1,,
EVM0000005.1,Gene5.1,,
EVM0000006.1,Gene6.1,,
EVM0000007.2,Gene7.2,,
EVM0000008.1,Gene8.1,,
EVM0000009.1,Gene9.1,,
EVM0000010.1,Gene10.1,,
EVM0000011.1,Gene11.1,,
EVM0000012.1,Gene12.1,,
EVM0000013.1,Gene13.1,,
EVM0000014.2,Gene14.2,,
EVM0000015.1,Gene15.1,,
EVM0000016.1,Gene16.1,,
EVM0000017.1,Gene17.1,,
EVM0000018.1,Gene18.1,,
EVM0000019.1,Gene19.1,,
EVM0000020.1,Gene20.1,,
EVM0000021.1,Gene21.1,,
EVM0000022.1,Gene22.1,,
EVM0000023.1,Gene23.1,,
EVM0000024.1,Gene24.1,,
EVM0000025.1,Gene25.1,,
EVM0000026.1,Gene26.1,,
EVM0000027.1,Gene27.1,,
EVM0000028.1,Gene28.1,,
EVM0000029.1,Gene29.1,,
EVM0000030.1,Gene30.1,,
EVM0000031.1,Gene31.1,,
EVM0000032.1,Gene32.1,,
EVM0000033.1,Gene33.1,,
EVM0000034.1,Gene34.1,,
EVM0000035.1,Gene35.1,,
EVM0000036.2,Gene36.2,,
EVM0000037.1,Gene37.1,,
EVM0000038.1,Gene38.1,,
EVM0000039.1,Gene39.1,,
EVM0000040.1,Gene40.1,,
EVM0000041.1,Gene41.1,,
EVM0000042.1,Gene42.1,,
EVM0000043.1,Gene43.1,,
EVM0000045.1,Gene45.1,,
EVM0000046.1,Gene46.1,,
EVM0000047.1,Gene47.1,,
EVM0000048.1,Gene48.1,,
EVM0000049.1,Gene49.1,,
EVM0000050.1,Gene50.1,,
EVM0000051.1,Gene51.1,,
EVM0000052.1,Gene52.1,,
EVM0000053.1,Gene53.1,,
EVM0000055.1,Gene55.1,,
EVM0000056.1,Gene56.1,,
EVM0000057.1,Gene57.1,,
